	name	num_classes	num_features	num_instances	number	score	time_cap
0	GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	9	8	1479	2	0.6275	100
1	GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1	9	8	1479	3	0.7575	100
2	GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1	9	8	1479	4	0.55	100
3	GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1	9	8	1479	2	0.6275	200
4	GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1	9	8	1479	3	0.725	200
5	GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1	9	8	1479	4	0.6075	200
