	name	num_classes	num_features	num_instances	number	score	time_cap
0	allbp	3	29	3772	11	0.9745493107104984	100
1	allhyper	4	29	3771	12	0.9819724284199364	100
2	allbp	3	29	3772	11	0.9692470837751855	120
3	allhyper	4	29	3771	12	0.9872746553552492	120
